MatchID,Season,SeasonStartYear,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,Home_Result_L3,Home_Result_L5,Home_Result_L10,Home_GF_L3,Home_GF_L5,Home_GF_L10,Home_GA_L3,Home_GA_L5,Home_GA_L10,Home_ShotsF_L3,Home_ShotsF_L5,Home_ShotsF_L10,Home_SOTF_L3,Home_SOTF_L5,Home_SOTF_L10,Home_xGF_L3,Home_xGF_L5,Home_xGF_L10,Home_xGA_L3,Home_xGA_L5,Home_xGA_L10,Home_MatchesPlayedPrior,Home_RestDays,Home_MatchesLast14Days,Home_VenueGF_L5,Home_VenueGA_L5,Home_VenueResult_L5,Away_Result_L3,Away_Result_L5,Away_Result_L10,Away_GF_L3,Away_GF_L5,Away_GF_L10,Away_GA_L3,Away_GA_L5,Away_GA_L10,Away_ShotsF_L3,Away_ShotsF_L5,Away_ShotsF_L10,Away_SOTF_L3,Away_SOTF_L5,Away_SOTF_L10,Away_xGF_L3,Away_xGF_L5,Away_xGF_L10,Away_xGA_L3,Away_xGA_L5,Away_xGA_L10,Away_MatchesPlayedPrior,Away_RestDays,Away_MatchesLast14Days,Away_VenueGF_L5,Away_VenueGA_L5,Away_VenueResult_L5,HomeEloPre,AwayEloPre,EloDiffPre
20180901_CrystalPalace_Southampton,2018-19,2018,2018-09-01,Crystal Palace,Southampton,0,2,A,M Atkinson,0.28085519922254615,0.28085519922254615,0.28085519922254615,0.9504373177842566,0.9504373177842566,0.9504373177842566,1.4382896015549078,1.4382896015549078,1.4382896015549078,8.950437317784257,8.950437317784257,8.950437317784257,4.354713313896987,4.354713313896987,4.354713313896987,,,,,,,3,6.0,2,0.0,2.0,0.0,0.14042759961127307,0.14042759961127307,0.14042759961127307,0.7191448007774539,0.7191448007774539,0.7191448007774539,1.4382896015549078,1.4382896015549078,1.4382896015549078,14.28765792031098,14.28765792031098,14.28765792031098,4.107871720116618,4.107871720116618,4.107871720116618,,,,,,,3,7.0,1,1.0,2.0,0.0,1493.34807909092,1477.7118846411827,15.636194449737332
20180901_Everton_Huddersfield,2018-19,2018,2018-09-01,Everton,Huddersfield,1,1,D,S Attwell,0.6652089407191448,0.6652089407191448,0.6652089407191448,2.0,2.0,2.0,1.6695821185617106,1.6695821185617106,1.6695821185617106,10.256559766763848,10.256559766763848,10.256559766763848,4.883381924198251,4.883381924198251,4.883381924198251,,,,,,,3,7.0,1,2.0,1.0,1.0,0.19436345966958213,0.19436345966958213,0.19436345966958213,0.3304178814382896,0.3304178814382896,0.3304178814382896,2.825072886297376,2.825072886297376,2.825072886297376,5.280855199222546,5.280855199222546,5.280855199222546,1.0,1.0,1.0,,,,,,,3,7.0,2,1.0,6.0,0.0,1512.9968154989597,1463.0910535195821,49.90576197937753
20180901_Brighton_Fulham,2018-19,2018,2018-09-01,Brighton,Fulham,2,2,D,L Probert,0.3304178814382896,0.3304178814382896,0.3304178814382896,0.9912536443148688,0.9912536443148688,0.9912536443148688,1.6112730806608357,1.6112730806608357,1.6112730806608357,6.0,6.0,6.0,1.7687074829931975,1.7687074829931975,1.7687074829931975,,,,,,,3,7.0,2,3.0,2.0,1.0,0.38872691933916426,0.38872691933916426,0.38872691933916426,1.8853255587949467,1.8853255587949467,1.8853255587949467,2.3304178814382897,2.3304178814382897,2.3304178814382897,17.235179786200195,17.235179786200195,17.235179786200195,7.341107871720117,7.341107871720117,7.341107871720117,,,,,,,3,6.0,1,1.0,3.0,0.0,1490.611596428233,1482.5454081534663,8.066188274766773
20180901_Chelsea_Bournemouth,2018-19,2018,2018-09-01,Chelsea,Bournemouth,2,0,H,L Mason,1.0,1.0,1.0,2.6112730806608355,2.6112730806608355,2.6112730806608355,1.0495626822157436,1.0495626822157436,1.0495626822157436,17.412050534499514,17.412050534499514,17.412050534499514,5.924198250728863,5.924198250728863,5.924198250728863,,,,,,,3,6.0,1,3.0,2.0,1.0,0.8056365403304179,0.8056365403304179,0.8056365403304179,2.0,2.0,2.0,1.1078717201166182,1.1078717201166182,1.1078717201166182,13.943634596695821,13.943634596695821,13.943634596695821,4.719144800777454,4.719144800777454,4.719144800777454,,,,,,,3,7.0,1,2.0,1.0,1.0,1540.2904704839887,1519.7984197958617,20.492050688126938
20180901_Leicester_Liverpool,2018-19,2018,2018-09-01,Leicester,Liverpool,1,2,A,P Tierney,0.7191448007774539,0.7191448007774539,0.7191448007774539,1.7191448007774537,1.7191448007774537,1.7191448007774537,0.9504373177842566,0.9504373177842566,0.9504373177842566,8.743440233236152,8.743440233236152,8.743440233236152,3.727891156462585,3.727891156462585,3.727891156462585,,,,,,,3,7.0,1,2.0,0.0,1.0,1.0,1.0,1.0,2.172983479105928,2.172983479105928,2.172983479105928,0.0,0.0,0.0,18.89407191448008,18.89407191448008,18.89407191448008,7.339164237123421,7.339164237123421,7.339164237123421,,,,,,,3,7.0,2,2.0,0.0,1.0,1516.210951913436,1539.1983882711327,-22.98743635769665
20180901_ManCity_Newcastle,2018-19,2018,2018-09-01,Man City,Newcastle,2,1,H,K Friend,0.8056365403304179,0.8056365403304179,0.8056365403304179,2.9329446064139946,2.9329446064139946,2.9329446064139946,0.7191448007774539,0.7191448007774539,0.7191448007774539,22.34499514091351,22.34499514091351,22.34499514091351,9.205053449951409,9.205053449951409,9.205053449951409,,,,,,,3,7.0,2,6.0,1.0,1.0,0.1652089407191448,0.1652089407191448,0.1652089407191448,0.6695821185617105,0.6695821185617105,0.6695821185617105,1.339164237123421,1.339164237123421,1.339164237123421,10.510204081632653,10.510204081632653,10.510204081632653,3.3216715257531586,3.3216715257531586,3.3216715257531586,,,,,,,3,6.0,1,0.0,0.0,0.5,1533.0367576732212,1478.30077969122,54.73597798200126
20180901_WestHam_Wolves,2018-19,2018,2018-09-01,West Ham,Wolves,0,1,A,C Kavanagh,0.0,0.0,0.0,0.7191448007774539,0.7191448007774539,0.7191448007774539,2.9504373177842567,2.9504373177842567,2.9504373177842567,10.092322643343051,10.092322643343051,10.092322643343051,4.157434402332362,4.157434402332362,4.157434402332362,,,,,,,3,7.0,1,1.0,2.0,0.0,0.33479105928085523,0.33479105928085523,0.33479105928085523,0.9504373177842566,0.9504373177842566,0.9504373177842566,1.6112730806608357,1.6112730806608357,1.6112730806608357,11.0,11.0,11.0,2.892128279883382,2.892128279883382,2.892128279883382,,,,,,,3,7.0,1,0.0,2.0,0.0,1463.5714048884759,1484.6621321041694,-21.090727215693505
20180902_Burnley_ManUnited,2018-19,2018,2018-09-02,Burnley,Man United,0,2,A,J Moss,0.14042759961127307,0.14042759961127307,0.14042759961127307,1.1078717201166182,1.1078717201166182,1.1078717201166182,2.546161321671526,2.546161321671526,2.546161321671526,11.801749271137027,11.801749271137027,11.801749271137027,3.4538386783284736,3.4538386783284736,3.4538386783284736,,,,,,,3,7.0,1,1.0,3.0,0.0,0.28085519922254615,0.28085519922254615,0.28085519922254615,1.2225461613216715,1.2225461613216715,1.2225461613216715,2.438289601554908,2.438289601554908,2.438289601554908,14.161321671525755,14.161321671525755,14.161321671525755,4.620019436345967,4.620019436345967,4.620019436345967,,,,,,,3,6.0,1,2.0,3.0,0.0,1472.611931430371,1478.1925159642713,-5.580584533900264
20180902_Cardiff_Arsenal,2018-19,2018,2018-09-02,Cardiff,Arsenal,2,3,A,A Taylor,0.35957240038872695,0.35957240038872695,0.35957240038872695,0.0,0.0,0.0,0.5617103984450923,0.5617103984450923,0.5617103984450923,12.215743440233236,12.215743440233236,12.215743440233236,2.166180758017493,2.166180758017493,2.166180758017493,,,,,,,3,8.0,1,0.0,0.0,0.5,0.38872691933916426,0.38872691933916426,0.38872691933916426,1.827016520894072,1.827016520894072,1.827016520894072,1.9416909620991252,1.9416909620991252,1.9416909620991252,14.092322643343051,14.092322643343051,14.092322643343051,6.7123420796890185,6.7123420796890185,6.7123420796890185,,,,,,,3,8.0,1,2.0,3.0,0.0,1488.5824184230255,1485.4480488634276,3.1343695595978716
20180902_Watford_Tottenham,2018-19,2018,2018-09-02,Watford,Tottenham,2,1,H,A Marriner,1.0,1.0,1.0,2.3304178814382897,2.3304178814382897,2.3304178814382897,0.7191448007774539,0.7191448007774539,0.7191448007774539,13.363459669582118,13.363459669582118,13.363459669582118,5.330417881438289,5.330417881438289,5.330417881438289,,,,,,,3,7.0,1,2.0,0.5405405405405405,1.0,1.0,1.0,1.0,2.7191448007774537,2.7191448007774537,2.7191448007774537,0.6112730806608357,0.6112730806608357,0.6112730806608357,15.971817298347911,15.971817298347911,15.971817298347911,6.982507288629738,6.982507288629738,6.982507288629738,,,,,,,3,6.0,1,2.5405405405405403,0.45945945945945943,1.0,1536.1058654404972,1543.685077724558,-7.579212284060759
20180915_Chelsea_Cardiff,2018-19,2018,2018-09-15,Chelsea,Cardiff,4,1,H,J Moss,1.0,1.0,1.0,2.2808551992225463,2.4194484760522497,2.4194484760522497,0.892128279883382,0.7201977013297768,0.7201977013297768,21.026239067055393,19.479425724708744,19.479425724708744,6.413022351797862,5.947985721570626,5.947985721570626,,,,,,,4,14.0,0,2.459459459459459,0.9189189189189189,1.0,0.30563654033041787,0.2467343976777939,0.2467343976777939,0.7774538386783285,0.6276232691327032,0.6276232691327032,1.1661807580174928,1.326874043855176,1.326874043855176,13.438289601554908,12.77566390773938,12.77566390773938,2.7687074829931975,2.4278429372768997,2.4278429372768997,,,,,,,4,13.0,1,0.0,0.9189189189189189,0.27027027027027023,1550.2873985947274,1475.6981952090325,74.58920338569487
20180915_Bournemouth_Leicester,2018-19,2018,2018-09-15,Bournemouth,Leicester,4,2,H,C Pawson,0.446064139941691,0.552818420742949,0.552818420742949,1.2225461613216715,1.372376730867297,1.372376730867297,1.7191448007774537,1.3878319538696897,1.3878319538696897,12.09718172983479,12.078452908641585,12.078452908641585,3.4450923226433434,3.5520338916565333,3.5520338916565333,,,,,,,4,14.0,0,2.0,1.081081081081081,0.7297297297297297,0.6112730806608357,0.4934687953555878,0.4934687953555878,1.6112730806608357,1.4934687953555879,1.4934687953555879,1.1078717201166182,1.279802298670223,1.279802298670223,8.993197278911564,9.765386576707332,9.765386576707332,4.157434402332362,4.127093711999372,4.127093711999372,,,,,,,4,14.0,0,1.5405405405405406,1.4594594594594594,0.5405405405405405,1509.801491685123,1504.0299554328426,5.771536252280384
20180915_Tottenham_Liverpool,2018-19,2018,2018-09-15,Tottenham,Liverpool,1,2,A,M Oliver,0.6112730806608357,0.6861883654336485,0.6861883654336485,2.2225461613216715,2.1796571607892363,2.1796571607892363,1.0583090379008748,1.0470717451849527,1.0470717451849527,14.271137026239066,14.41160318518809,14.41160318518809,5.518950437317784,5.418938532146079,5.418938532146079,,,,,,,4,13.0,1,3.0,1.0,1.0,1.0,1.0,1.0,1.6695821185617106,2.118699250774722,2.118699250774722,0.38872691933916426,0.3138116345663516,0.3138116345663516,15.650145772594753,16.103008669046407,16.103008669046407,5.88338192419825,6.291295649786216,6.291295649786216,,,,,,,4,14.0,0,2.0,0.5405405405405405,1.0,1536.2841453303727,1551.379384751726,-15.095239421353426
