Match Number,Round Number,Date,Location,Home Team,Away Team,Result,SeasonStartYear,Season
285,29,03/03/2019 14:05,Craven Cottage,Fulham,Chelsea,1 - 2,2018,2018-19
284,29,03/03/2019 16:15,Goodison Park,Everton,Liverpool,0 - 0,2018,2018-19
294,30,09/03/2019 12:30,Selhurst Park,Crystal Palace,Brighton,1 - 2,2018,2018-19
292,30,09/03/2019 15:00,Cardiff City Stadium,Cardiff,West Ham,2 - 0,2018,2018-19
295,30,09/03/2019 15:00,John Smith's Stadium,Huddersfield,Bournemouth,0 - 2,2018,2018-19
296,30,09/03/2019 15:00,King Power Stadium,Leicester,Fulham,3 - 1,2018,2018-19
299,30,09/03/2019 15:00,St. James' Park,Newcastle,Everton,3 - 2,2018,2018-19
300,30,09/03/2019 15:00,St. Mary's Stadium,Southampton,Tottenham,2 - 1,2018,2018-19
298,30,09/03/2019 17:30,Etihad Stadium,Man City,Watford,3 - 1,2018,2018-19
297,30,10/03/2019 12:00,Anfield,Liverpool,Burnley,4 - 2,2018,2018-19
293,30,10/03/2019 14:05,Stamford Bridge,Chelsea,Wolves,1 - 1,2018,2018-19
291,30,10/03/2019 16:30,Emirates Stadium,Arsenal,Man United,2 - 0,2018,2018-19
301,31,16/03/2019 15:00,Vitality Stadium,Bournemouth,Newcastle,2 - 2,2018,2018-19
303,31,16/03/2019 15:00,Turf Moor,Burnley,Leicester,1 - 2,2018,2018-19
309,31,16/03/2019 15:00,London Stadium,West Ham,Huddersfield,4 - 3,2018,2018-19
305,31,17/03/2019 14:15,Craven Cottage,Fulham,Liverpool,1 - 2,2018,2018-19
304,31,17/03/2019 16:30,Goodison Park,Everton,Chelsea,2 - 0,2018,2018-19
316,32,30/03/2019 12:30,Craven Cottage,Fulham,Man City,0 - 2,2018,2018-19
312,32,30/03/2019 15:00,Amex Stadium,Brighton,Southampton,0 - 1,2018,2018-19
313,32,30/03/2019 15:00,Turf Moor,Burnley,Wolves,2 - 0,2018,2018-19
315,32,30/03/2019 15:00,Selhurst Park,Crystal Palace,Huddersfield,2 - 0,2018,2018-19
317,32,30/03/2019 15:00,King Power Stadium,Leicester,Bournemouth,2 - 0,2018,2018-19
319,32,30/03/2019 15:00,Old Trafford,Man United,Watford,2 - 1,2018,2018-19
320,32,30/03/2019 17:30,London Stadium,West Ham,Everton,0 - 2,2018,2018-19
314,32,31/03/2019 14:05,Cardiff City Stadium,Cardiff,Chelsea,1 - 2,2018,2018-19
318,32,31/03/2019 16:30,Anfield,Liverpool,Tottenham,2 - 1,2018,2018-19
311,32,01/04/2019 20:00,Emirates Stadium,Arsenal,Newcastle,2 - 0,2018,2018-19
329,32,02/04/2019 19:45,Vicarage Road,Watford,Fulham,4 - 1,2018,2018-19
330,32,02/04/2019 19:45,Molineux Stadium,Wolves,Man United,2 - 1,2018,2018-19
265,32,03/04/2019 19:45,Stamford Bridge,Chelsea,Brighton,3 - 0,2018,2018-19
307,32,03/04/2019 19:45,Tottenham Hotspur Stadium,Tottenham,Crystal Palace,2 - 0,2018,2018-19
325,32,03/04/2019 19:45,Etihad Stadium,Man City,Cardiff,2 - 0,2018,2018-19
327,33,05/04/2019 20:00,St. Mary's Stadium,Southampton,Liverpool,1 - 3,2018,2018-19
321,33,06/04/2019 15:00,Vitality Stadium,Bournemouth,Burnley,1 - 3,2018,2018-19
324,33,06/04/2019 15:00,John Smith's Stadium,Huddersfield,Leicester,1 - 4,2018,2018-19
326,33,06/04/2019 15:00,St. James' Park,Newcastle,Crystal Palace,0 - 1,2018,2018-19
323,33,07/04/2019 14:05,Goodison Park,Everton,Arsenal,1 - 0,2018,2018-19
322,33,08/04/2019 20:00,Stamford Bridge,Chelsea,West Ham,2 - 0,2018,2018-19
335,34,12/04/2019 20:00,King Power Stadium,Leicester,Newcastle,0 - 1,2018,2018-19
339,34,13/04/2019 12:30,Tottenham Hotspur Stadium,Tottenham,Huddersfield,4 - 0,2018,2018-19
331,34,13/04/2019 15:00,Amex Stadium,Brighton,Bournemouth,0 - 5,2018,2018-19
332,34,13/04/2019 15:00,Turf Moor,Burnley,Cardiff,2 - 0,2018,2018-19
334,34,13/04/2019 15:00,Craven Cottage,Fulham,Everton,2 - 0,2018,2018-19
338,34,13/04/2019 15:00,St. Mary's Stadium,Southampton,Wolves,3 - 1,2018,2018-19
337,34,13/04/2019 17:30,Old Trafford,Man United,West Ham,2 - 1,2018,2018-19
333,34,14/04/2019 14:05,Selhurst Park,Crystal Palace,Man City,1 - 3,2018,2018-19
336,34,14/04/2019 16:30,Anfield,Liverpool,Chelsea,2 - 0,2018,2018-19
340,34,15/04/2019 20:00,Vicarage Road,Watford,Arsenal,0 - 1,2018,2018-19
302,34,16/04/2019 19:45,Amex Stadium,Brighton,Cardiff,0 - 2,2018,2018-19
347,35,20/04/2019 12:30,Etihad Stadium,Man City,Tottenham,1 - 0,2018,2018-19
342,35,20/04/2019 15:00,Vitality Stadium,Bournemouth,Fulham,0 - 1,2018,2018-19
346,35,20/04/2019 15:00,John Smith's Stadium,Huddersfield,Watford,1 - 2,2018,2018-19
349,35,20/04/2019 15:00,London Stadium,West Ham,Leicester,2 - 2,2018,2018-19
350,35,20/04/2019 15:00,Molineux Stadium,Wolves,Brighton,0 - 0,2018,2018-19
348,35,20/04/2019 17:30,St. James' Park,Newcastle,Southampton,3 - 1,2018,2018-19
345,35,21/04/2019 13:30,Goodison Park,Everton,Man United,4 - 0,2018,2018-19
341,35,21/04/2019 16:00,Emirates Stadium,Arsenal,Crystal Palace,2 - 3,2018,2018-19
343,35,21/04/2019 16:00,Cardiff City Stadium,Cardiff,Liverpool,0 - 2,2018,2018-19
344,35,22/04/2019 20:00,Stamford Bridge,Chelsea,Burnley,2 - 2,2018,2018-19
308,35,23/04/2019 19:45,Vicarage Road,Watford,Southampton,1 - 1,2018,2018-19
328,35,23/04/2019 19:45,Tottenham Hotspur Stadium,Tottenham,Brighton,1 - 0,2018,2018-19
310,35,24/04/2019 19:45,Molineux Stadium,Wolves,Arsenal,3 - 1,2018,2018-19
306,35,24/04/2019 20:00,Old Trafford,Man United,Man City,0 - 2,2018,2018-19
356,36,26/04/2019 20:00,Anfield,Liverpool,Huddersfield,5 - 0,2018,2018-19
359,36,27/04/2019 12:30,Tottenham Hotspur Stadium,Tottenham,West Ham,0 - 1,2018,2018-19
353,36,27/04/2019 15:00,Selhurst Park,Crystal Palace,Everton,0 - 0,2018,2018-19
354,36,27/04/2019 15:00,Craven Cottage,Fulham,Cardiff,1 - 0,2018,2018-19
358,36,27/04/2019 15:00,St. Mary's Stadium,Southampton,Bournemouth,3 - 3,2018,2018-19
360,36,27/04/2019 15:00,Vicarage Road,Watford,Wolves,1 - 2,2018,2018-19
351,36,27/04/2019 17:30,Amex Stadium,Brighton,Newcastle,1 - 1,2018,2018-19
355,36,28/04/2019 12:00,King Power Stadium,Leicester,Arsenal,3 - 0,2018,2018-19
352,36,28/04/2019 14:05,Turf Moor,Burnley,Man City,0 - 1,2018,2018-19
357,36,28/04/2019 16:30,Old Trafford,Man United,Chelsea,1 - 1,2018,2018-19
365,37,03/05/2019 20:00,Goodison Park,Everton,Burnley,2 - 0,2018,2018-19
362,37,04/05/2019 12:30,Vitality Stadium,Bournemouth,Tottenham,1 - 0,2018,2018-19
369,37,04/05/2019 15:00,London Stadium,West Ham,Southampton,3 - 0,2018,2018-19
370,37,04/05/2019 15:00,Molineux Stadium,Wolves,Fulham,1 - 0,2018,2018-19
363,37,04/05/2019 17:30,Cardiff City Stadium,Cardiff,Crystal Palace,2 - 3,2018,2018-19
368,37,04/05/2019 19:45,St. James' Park,Newcastle,Liverpool,2 - 3,2018,2018-19
364,37,05/05/2019 14:00,Stamford Bridge,Chelsea,Watford,3 - 0,2018,2018-19
366,37,05/05/2019 14:00,John Smith's Stadium,Huddersfield,Man United,1 - 1,2018,2018-19
361,37,05/05/2019 16:30,Emirates Stadium,Arsenal,Brighton,1 - 1,2018,2018-19
367,37,06/05/2019 20:00,Etihad Stadium,Man City,Leicester,1 - 0,2018,2018-19
371,38,12/05/2019 15:00,Amex Stadium,Brighton,Man City,1 - 4,2018,2018-19
372,38,12/05/2019 15:00,Turf Moor,Burnley,Arsenal,1 - 3,2018,2018-19
373,38,12/05/2019 15:00,Selhurst Park,Crystal Palace,Bournemouth,5 - 3,2018,2018-19
374,38,12/05/2019 15:00,Craven Cottage,Fulham,Newcastle,0 - 4,2018,2018-19
375,38,12/05/2019 15:00,King Power Stadium,Leicester,Chelsea,0 - 0,2018,2018-19
376,38,12/05/2019 15:00,Anfield,Liverpool,Wolves,2 - 0,2018,2018-19
377,38,12/05/2019 15:00,Old Trafford,Man United,Cardiff,0 - 2,2018,2018-19
378,38,12/05/2019 15:00,St. Mary's Stadium,Southampton,Huddersfield,1 - 1,2018,2018-19
379,38,12/05/2019 15:00,Tottenham Hotspur Stadium,Tottenham,Everton,2 - 2,2018,2018-19
380,38,12/05/2019 15:00,Vicarage Road,Watford,West Ham,1 - 4,2018,2018-19
